,Flag,Company,Ticker,Unnamed: 3,Activist_Group,Start_Date,Hostility_End_Date,Start_Year,Start_Month,Start_Day,Stake_End_Date,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Link,News_Search,Start_Date_And_Time,Current_Ticker,First_Affected_Date,Hostility_End_Date.1,End_Year,End_Month,End_Day,Sector,Industry_Name,Outcome,Region_Exchange,Country_Exchange,Country_Incorporation,State_Incorporation,Proxy_Fight_Boolean,Campaign_Status,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return
141,225134646,Ambac Financial Group Inc,ABK 7 1/2 05/01/23,#N/A Review,Cornwall Capital Management LP,28/03/2016 0:00,5/4/2017,2012,5,11,04/05/2017 0:00,1: Other (Oppose Canyon Capital Proxy Campaign),16.67727,707688300.0,4.9,NSN O4RRV03RXUKG,NI COMPANY:AMBC@US 'Cornwall',Start: 2016-03-28. UTC: 2016-03-28T22:01:48.596Z,AMBC US Equity,29/03/2016 0:00,5/4/2017,2017.0,4.0,5.0,Financials,Insurance,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,34676726.7,-0.190961,16.42266,16.90051,15.07276
144,225134646,Boingo Wireless Inc,WIFI US,#N/A Review,Ides Capital Management LP,24/03/2016 0:00,6/1/2016,2012,5,14,01/06/2016 0:00,5: Board Representation; Declassify Board; Independent Chair; Other (Increase board size); Compensation Changes,3.586207,271466100.0,0.3,NSN O4JOT0MEQTXH,NI COMPANY:WIFI@US 'Ides',Start: 2016-03-24. UTC: 2016-03-24T13:15:00.303Z,WIFI US Equity,24/03/2016 0:00,6/1/2016,2016.0,1.0,6.0,Communications,Internet Media & Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,814398.3,2.206897,83.17242,1.349528,3.586207
165,225134646,Ambac Financial Group Inc,ABK 7 1/2 05/01/23,#N/A Review,Canyon Capital Advisors LLC,2/3/2016,5/13/2016,2012,6,27,14/02/2017 0:00,2: Board Representation; Management Changes,39.29261,700480800.0,4.5,NSN O3F3HH6K50YF,NI COMPANY:AMBC@US 'Canyon',Start: 2016-03-02. UTC: 2016-03-02T15:10:29.809Z,AMBC US Equity,02/03/2016 0:00,5/13/2016,2016.0,13.0,5.0,Financials,Insurance,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,31521636.0,2.926045,43.7299,35.33271,39.29261
200,225134646,Altisource Residential Corp,ALTISOURCE RESIDENTIAL,#N/A Invalid Security,Radoff Family Foundation/The (Group: RESI Shareholders Group (Oliver Press Partners LLC and Radoff Family Foundation/The)),20/01/2016 0:00,5/11/2016,2012,10,22,11/05/2017 0:00,2: Strategic Review; Board Control,57.23536,547590500.0,2.91,NSN O19N8R3MMTC0,NI COMPANY:1960363D@US 'Radoff',Start: 2016-01-20. UTC: 2016-01-20T19:24:27.767Z,1960363D US Equity,20/01/2016 0:00,5/11/2016,2016.0,11.0,5.0,Real Estate,REIT,Success,North America,United States,UNITED STATES OF AMERICA,MD,Proxy Fight,Closed - Activist Stake Sold,Core Activist,15934883.55,5.316973,24.66873,49.29726,41.383934
201,225134646,Altisource Residential Corp,ALTISOURCE RESIDENTIAL,#N/A Invalid Security,RESI Shareholders Group (Group: RESI Shareholders Group (Oliver Press Partners LLC and Radoff Family Foundation/The)),20/01/2016 0:00,5/11/2016,2012,10,22,11/05/2017 0:00,2: Strategic Review; Board Control,57.23536,547590500.0,2.91,NSN O19N8R3MMTC0,NI COMPANY:1960363D@US 'RESI Shareholders',Start: 2016-01-20. UTC: 2016-01-20T19:24:27.767Z,1960363D US Equity,20/01/2016 0:00,5/11/2016,2016.0,11.0,5.0,Real Estate,REIT,Success,North America,United States,UNITED STATES OF AMERICA,MD,Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,15934883.55,5.316973,24.66873,49.29726,41.383934
214,225134646,Edgewater Technology Inc,1106330D US,#N/A Field Not Applicable,GAMCO Investors Inc,23/12/2015 0:00,11/1/2018,2012,11,13,01/11/2018 0:00,3: Board Representation; Support 3rd Party Activist; Sale of Company,-43.93939,93466300.0,18.61,DOCV /ID 0000807249-15-000275,NI COMPANY:EDGW@US 'GAMCO',Start: 2015-12-23. UTC: 2015-12-23T21:48:43.000Z,EDGW US Equity,24/12/2015 0:00,11/1/2018,2018.0,1.0,11.0,Technology,Technology Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,17394078.43,0.883838,-10.22727,-44.43054,-18.333812
220,225134646,Yahoo! Inc,1518855D US,#N/A Review,Canyon Capital Advisors LLC,13/12/2015 0:00,2/24/2017,2012,11,15,14/11/2018 0:00,3: Sale of Company; Break Up; Strategic Review,89.24339,31078730000.0,0.6,NSN NZBPS66K510B,NI COMPANY:AABA@US 'Canyon',Start: 2015-12-13. UTC: 2015-12-14T01:07:18.361Z,AABA US Equity,14/12/2015 0:00,2/24/2017,2017.0,24.0,2.0,Communications,Internet Media & Services,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,186472380.0,-0.972349,26.01033,91.101562,24.409146
221,225134646,Yahoo! Inc,1518855D US,#N/A Review,SpringOwl Asset Management LLC,13/12/2015 0:00,3/31/2017,2012,11,15,31/03/2017 0:00,5: Cost Cutting; Management Changes; Break Up; Strategic Review; Board Representation,41.02097,31078730000.0,,NSN QBSCEKEIXCQX,NI COMPANY:AABA@US 'SpringOwl',Start: 2015-12-13. UTC: 2015-12-14T00:39:16.626Z,AABA US Equity,14/12/2015 0:00,3/31/2017,2017.0,31.0,3.0,Communications,Internet Media & Services,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,,-0.972349,26.01033,42.40565,30.376038
241,225134646,Forestar Group Inc,FOR US,FOR,Carlson Capital LP,9/11/2015,2/8/2016,2013,1,2,07/12/2016 0:00,1: Board Representation,1.726727,552423800.0,5.85,DOCV /ID 0000945621-15-000304,NI COMPANY:FOR@US 'Carlson',Start: 2015-11-09. UTC: 2015-11-09T22:19:11.000Z,FOR US Equity,10/11/2015 0:00,2/8/2016,2016.0,8.0,2.0,Consumer Discretionary,Home Construction,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,26194457.25,0.375375,-11.78679,1.346298,1.602723
257,225134646,YuMe Inc,YUME US,#N/A Field Not Applicable,Viex Capital Advisors LLC,7/10/2015,2/1/2018,2013,2,14,01/02/2018 0:00,7: Cost Cutting; Return Capital/Buybacks; Board Representation; Declassify Board; Board Representation; Strategic Review; Compensation Changes,57.04394,98125700.0,5.3,DOCV /ID 0000921895-15-002226,NI COMPANY:YUME@US 'Viex',Start: 2015-10-07. UTC: 2015-10-07T13:02:34.000Z,YUME US Equity,07/10/2015 0:00,2/1/2018,2018.0,1.0,2.0,Communications,Advertising & Marketing,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Former Core,5200662.1,8.620689,32.06897,44.58013,21.442955
260,225134646,Support.com Inc,SPRT US,#N/A Review,Radoff Family Foundation/The (Group: Viex Capital Advisors LLC and Radoff Family Foundation/The),5/10/2015,6/24/2016,2013,2,15,05/04/2019 0:00,6: Strategic Review; Board Representation; Board Control; Remove Director/Withhold Votes; Other (Refrain from material acquisitions); Remove Poison Pill,-36.5218,62759600.0,10.5,DOCV /ID 0000921895-15-002195,NI COMPANY:SPRT@US 'Radoff',Start: 2015-10-05. UTC: 2015-10-05T13:03:53.000Z,SPRT US Equity,05/10/2015 0:00,6/24/2016,2016.0,24.0,6.0,Technology,Software,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,6589758.0,2.608696,-25.91304,-38.13565,-12.172789
261,225134646,Support.com Inc,SPRT US,#N/A Review,Viex Capital Advisors LLC (Group: Viex Capital Advisors LLC and Radoff Family Foundation/The),5/10/2015,4/5/2019,2013,2,19,05/04/2019 0:00,6: Strategic Review; Board Representation; Board Control; Remove Director/Withhold Votes; Other (Refrain from material acquisitions); Remove Poison Pill,-36.5218,62759600.0,10.5,DOCV /ID 0000921895-15-002195,NI COMPANY:SPRT@US 'Viex',Start: 2015-10-05. UTC: 2015-10-05T13:03:53.000Z,SPRT US Equity,05/10/2015 0:00,4/5/2019,2019.0,5.0,4.0,Technology,Software,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Former Core,6589758.0,2.608696,-25.91304,-38.13565,-12.172789
266,225134646,Forestar Group Inc,FOR US,FOR,JCP Investment Management LLC (Group: JCP Investment Management LLC and Radoff Family Foundation/The),29/09/2015 0:00,,2013,2,26,08/12/2015 0:00,Stake Only 13D: No Public Activism,-17.48354,566920500.0,6.31,DOCV /ID 0000921895-15-002161,NI COMPANY:FOR@US 'JCP',Start: 2015-09-29. UTC: 2015-09-29T18:04:59.000Z,FOR US Equity,29/09/2015 0:00,,,,,Consumer Discretionary,Home Construction,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,28995421.74,-3.145574,-13.67959,-14.80363,-17.48354
267,225134646,Forestar Group Inc,FOR US,FOR,Radoff Family Foundation/The (Group: JCP Investment Management LLC and Radoff Family Foundation/The),29/09/2015 0:00,,2013,2,26,08/12/2015 0:00,Stake Only 13D: No Public Activism,-17.48354,566920500.0,6.31,DOCV /ID 0000921895-15-002161,NI COMPANY:FOR@US 'Radoff',Start: 2015-09-29. UTC: 2015-09-29T18:04:59.000Z,FOR US Equity,29/09/2015 0:00,,,,,Consumer Discretionary,Home Construction,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,28995421.74,-3.145574,-13.67959,-14.80363,-17.48354
290,225134646,ASB Bancorp Inc,ASBB US,#N/A Field Not Applicable,Firefly Value Partners LP,3/8/2015,11/27/2015,2013,4,30,27/11/2015 0:00,2: Sale of Company; Strategic Review,14.21053,99827800.0,9.6,DOCV /ID 0001019056-15-000658,NI COMPANY:ASBB@US 'Firefly',Start: 2015-08-03. UTC: 2015-08-03T20:06:14.000Z,ASBB US Equity,04/08/2015 0:00,11/27/2015,2015.0,27.0,11.0,Financials,Banking,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,NC,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,9583468.8,-0.657895,9.298245,14.96689,14.21053
319,225134646,DHI Group Inc,DHX US,DHX,Barington Capital Group LP (Group: Barington Capital Group LP and Ancora Advisors LLC),15/06/2015 0:00,2/26/2016,2013,7,12,14/11/2016 0:00,2: Sale of Company; Strategic Review,-34.97268,503419300.0,4.0,NSN NPZK263MSFLS,NI COMPANY:DHX@US 'Barington',Start: 2015-06-15. UTC: 2015-06-15T12:30:06.161Z,DHX US Equity,15/06/2015 0:00,2/26/2016,2016.0,26.0,2.0,Communications,Internet Media & Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,20136772.0,0.327869,-25.57377,-35.18518,-26.158394
320,225134646,DHI Group Inc,DHX US,DHX,Ancora Advisors LLC (Group: Barington Capital Group LP and Ancora Advisors LLC),15/06/2015 0:00,2/26/2016,2013,7,17,14/11/2016 0:00,2: Sale of Company; Strategic Review,-34.97268,503419300.0,4.0,NSN NPZK263MSFLS,NI COMPANY:DHX@US 'Ancora',Start: 2015-06-15. UTC: 2015-06-15T12:30:06.161Z,DHX US Equity,15/06/2015 0:00,2/26/2016,2016.0,26.0,2.0,Communications,Internet Media & Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,20136772.0,0.327869,-25.57377,-35.18518,-26.158394
354,225134646,ASB Bancorp Inc,ASBB US,#N/A Field Not Applicable,Seidman & Associates LLC,1/4/2015,1/21/2016,2013,10,9,29/09/2017 0:00,3: Board Representation; Sale of Company; Strategic Review,120.0,89757400.0,5.89,DOCV /ID 0001026081-15-000009,NI COMPANY:ASBB@US 'Seidman',Start: 2015-04-01. UTC: 2015-04-01T19:00:35.000Z,ASBB US Equity,01/04/2015 0:00,1/21/2016,2016.0,21.0,1.0,Financials,Banking,Success,North America,United States,UNITED STATES OF AMERICA,NC,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,5286710.86,2.926219,18.2439,113.7453,37.102118
366,225134646,Children's Place Inc/The,PLCE US,PLCE,Barington Capital Group LP (Group: Shareholders For Change at The Childrens Place (Barington Capital Group LP and Macellum Capital Management LLC)),11/3/2015,5/22/2015,2013,10,25,14/11/2016 0:00,6: Strategic Review; Board Representation; Sale of Company; Cost Cutting; Return Capital/Buybacks; Compensation Changes,51.95084,1226856100.0,2.0,NSN NL2EGZ3MSFLS,NI COMPANY:PLCE@US 'Barington',Start: 2015-03-11. UTC: 2015-03-11T20:34:11.662Z,PLCE US Equity,12/03/2015 0:00,5/22/2015,2015.0,22.0,5.0,Consumer Discretionary,Retail - Discretionary,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,24537122.0,8.811334,20.20515,39.64616,28.289732
367,225134646,Children's Place Inc/The,PLCE US,PLCE,Macellum Capital Management LLC (Group: Shareholders For Change at The Childrens Place (Barington Capital Group LP and Macellum Capital Management LLC)),11/3/2015,5/22/2015,2013,10,28,14/11/2016 0:00,6: Strategic Review; Board Representation; Sale of Company; Cost Cutting; Return Capital/Buybacks; Compensation Changes,51.95084,1226856100.0,2.0,NSN NL2EGZ3MSFLS,NI COMPANY:PLCE@US 'Macellum',Start: 2015-03-11. UTC: 2015-03-11T20:34:11.662Z,PLCE US Equity,12/03/2015 0:00,5/22/2015,2015.0,22.0,5.0,Consumer Discretionary,Retail - Discretionary,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,24537122.0,8.811334,20.20515,39.64616,28.289732
376,225134646,YuMe Inc,YUME US,#N/A Field Not Applicable,AVI Management LLC,23/02/2015 0:00,2/1/2018,2013,11,8,01/02/2018 0:00,7: Board Representation; Independent Chair; Remove Director/Withhold Votes; Return Capital/Buybacks; Cost Cutting; Acquire Company; Support 3rd Party Activist,-18.23565,184058700.0,8.3,DOCV /ID 0000921895-15-000495,NI COMPANY:YUME@US 'AVI Management',Start: 2015-02-23. UTC: 2015-02-23T22:24:38.000Z,YUME US Equity,24/02/2015 0:00,2/1/2018,2018.0,1.0,2.0,Communications,Advertising & Marketing,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,15276872.1,-1.436266,-35.90664,-17.04419,-6.619308
403,225134646,Manitowoc Co Inc/The,MTW US,MTW,Icahn Enterprises LP,29/12/2014 0:00,2/9/2015,2014,1,21,22/02/2018 0:00,1: Break Up,80.18443,2835140400.0,7.77,DOCV /ID 0000928464-14-000125,NI COMPANY:MTW@US 'Icahn',Start: 2014-12-29. UTC: 2014-12-29T11:06:46.000Z,MTW US Equity,29/12/2014 0:00,2/9/2015,2015.0,9.0,2.0,Industrials,Machinery,Success,North America,United States,UNITED STATES OF AMERICA,WI,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,220290409.1,8.938814,-27.27625,65.39967,20.529102
408,225134646,Imation Corp,IMATION,#N/A Invalid Security,Clinton Group Inc/New York,15/12/2014 0:00,5/20/2015,2014,1,23,28/03/2018 0:00,1: Board Representation,-96.67598,151202100.0,3.4,NSN NGN7AZ3MSFLS,NI COMPANY:GLAE@US 'Clinton Group',Start: 2014-12-15. UTC: 2014-12-15T21:21:00.006Z,GLAE US Equity,16/12/2014 0:00,5/20/2015,2015.0,20.0,5.0,Financials,Asset Management,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Former Core,5140871.4,-3.351955,-62.01117,-96.56069,-64.55225
411,225134646,CDK Global Inc,CDK 7 1/4 06/15/29,CDK,Fir Tree Capital Management LP,8/12/2014,3/24/2016,2014,1,28,24/03/2016 0:00,Discussions only,15.18512,6434863700.0,8.8,DOCV /ID 0000902664-14-004530,NI COMPANY:CDK@US 'Fir Tree',Start: 2014-12-08. UTC: 2014-12-08T19:07:49.000Z,CDK US Equity,08/12/2014 0:00,3/24/2016,2016.0,24.0,3.0,Technology,Software,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,566268005.6,0.698952,18.52091,14.38562,11.552198
412,225134646,Noble Romans Inc,NROM US,#N/A Review,Lucus Advisors LLC,8/12/2014,4/9/2015,2014,1,29,22/09/2016 0:00,1: Return Capital/Buybacks,-75.48544,41262000.0,5.3,DOCV /ID 0000921895-14-002591,NI COMPANY:NROM@US 'Lucus',Start: 2014-12-08. UTC: 2014-12-08T18:43:14.000Z,NROM US Equity,08/12/2014 0:00,4/9/2015,2015.0,9.0,4.0,Consumer Discretionary,Leisure Facilities & Services,Success,North America,United States,UNITED STATES OF AMERICA,IN,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,2186886.0,-5.339806,-36.40777,-74.10256,-54.371608
415,225134646,Jamba Inc,JMBA US,#N/A Review,JCP Investment Management LLC,4/12/2014,1/13/2015,2014,2,6,12/09/2018 0:00,1: Board Representation,2.279874,221369500.0,2.3,DOCV /ID 0001144204-14-072352,NI COMPANY:JMBA@US 'JCP',Start: 2014-12-04. UTC: 2014-12-04T21:32:58.000Z,JMBA US Equity,05/12/2014 0:00,1/13/2015,2015.0,13.0,1.0,Consumer Discretionary,Leisure Facilities & Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,5091498.5,2.987421,7.468554,-0.687023,0.599327
422,225134646,Gas Natural Inc,56035DGT,#N/A Field Not Applicable,InterTech Group Inc/The,1/12/2014,,2014,2,19,03/08/2017 0:00,Stake Only 13D: No Public Activism,28.23765,119557600.0,8.3,DOCV /ID 0000948520-14-000031,NI COMPANY:EGAS@US 'InterTech Group',Start: 2014-12-01. UTC: 2014-12-01T21:39:17.000Z,EGAS US Equity,02/12/2014 0:00,,,,,Utilities,Gas & Water Utilities,Not Applicable,North America,United States,UNITED STATES OF AMERICA,OH,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,9923280.8,1.754386,-20.50445,26.02666,9.758103
433,225134646,Bank of New York Mellon Corp/The,BANK OF NEW YORK MELLON,#N/A Invalid Security,Marcato Capital Management LP,13/11/2014 0:00,8/15/2016,2014,3,12,15/08/2016 0:00,3: Return Capital/Buybacks; Management Changes; Cost Cutting,4.164325,44735704100.0,1.6,NSN NEZMAP6TTDSW,NI COMPANY:BK@US 'Marcato',Start: 2014-11-13. UTC: 2014-11-13T17:08:49.930Z,BK US Equity,13/11/2014 0:00,8/15/2016,2016.0,15.0,8.0,Financials,Institutional Financial Svcs,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Former Core,715771265.6,-0.377453,9.167704,4.558987,2.350414
435,225134646,Zoetis Inc,ZTS US,ZTS,Pershing Square Capital Management LP (Group: Sachem Head Capital Management LP and Pershing Square Capital Management LP),12/11/2014,2/4/2015,2014,3,17,08/07/2016 0:00,1: Cost Cutting,12.44123,21917921500.0,9.2,DOCV /ID 0001193125-14-407714,NI COMPANY:ZTS@US 'Pershing Square',Start: 2014-11-12. UTC: 2014-11-12T11:53:34.000Z,ZTS US Equity,12/11/2014 0:00,2/4/2015,2015.0,4.0,2.0,Health Care,Biotech & Pharma,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,2016448778.0,-2.470265,2.587749,15.28917,7.343208
